,county,year,unemployment
428,"Dodge County, GA",1990,6.0
429,"Dooly County, GA",1990,6.2
430,"Dougherty County, GA",1990,7.7
431,"Douglas County, GA",1990,4.7
432,"Early County, GA",1990,6.1
433,"Echols County, GA",1990,4.9
434,"Effingham County, GA",1990,3.8
435,"Elbert County, GA",1990,8.3
436,"Emanuel County, GA",1990,9.3
437,"Evans County, GA",1990,4.1
438,"Fannin County, GA",1990,7.8
439,"Fayette County, GA",1990,3.3
440,"Floyd County, GA",1990,7.7
441,"Forsyth County, GA",1990,4.5
442,"Franklin County, GA",1990,8.0
443,"Fulton County, GA",1990,5.6
444,"Gilmer County, GA",1990,7.4
445,"Glascock County, GA",1990,5.9
446,"Glynn County, GA",1990,4.3
447,"Gordon County, GA",1990,7.8
448,"Grady County, GA",1990,5.0
449,"Greene County, GA",1990,6.8
450,"Gwinnett County, GA",1990,4.1
451,"Habersham County, GA",1990,5.2
452,"Hall County, GA",1990,5.5
453,"Hancock County, GA",1990,6.4
454,"Haralson County, GA",1990,6.9
455,"Harris County, GA",1990,5.2
456,"Hart County, GA",1990,6.2
457,"Heard County, GA",1990,5.2
458,"Henry County, GA",1990,4.6
459,"Houston County, GA",1990,4.0
460,"Irwin County, GA",1990,5.9
461,"Jackson County, GA",1990,6.3
462,"Jasper County, GA",1990,5.9
463,"Jeff Davis County, GA",1990,6.5
464,"Jefferson County, GA",1990,8.0
465,"Jenkins County, GA",1990,9.9
466,"Johnson County, GA",1990,6.7
467,"Jones County, GA",1990,4.1
468,"Lamar County, GA",1990,5.3
469,"Lanier County, GA",1990,4.7
470,"Laurens County, GA",1990,5.4
471,"Lee County, GA",1990,5.5
472,"Liberty County, GA",1990,6.9
473,"Lincoln County, GA",1990,5.8
474,"Long County, GA",1990,4.9
475,"Lowndes County, GA",1990,4.7
476,"Lumpkin County, GA",1990,5.1
477,"McDuffie County, GA",1990,5.6
478,"McIntosh County, GA",1990,7.4
479,"Macon County, GA",1990,8.9
480,"Madison County, GA",1990,7.0
481,"Marion County, GA",1990,12.8
482,"Meriwether County, GA",1990,7.5
483,"Miller County, GA",1990,3.4
484,"Mitchell County, GA",1990,9.6
485,"Monroe County, GA",1990,6.3
486,"Montgomery County, GA",1990,6.8
487,"Morgan County, GA",1990,7.2
488,"Murray County, GA",1990,6.9
489,"Muscogee County, GA",1990,6.2
490,"Newton County, GA",1990,7.0
491,"Oconee County, GA",1990,4.3
492,"Oglethorpe County, GA",1990,5.9
493,"Paulding County, GA",1990,5.1
494,"Peach County, GA",1990,5.9
495,"Pickens County, GA",1990,8.1
496,"Pierce County, GA",1990,6.2
497,"Pike County, GA",1990,5.6
498,"Polk County, GA",1990,11.0
499,"Pulaski County, GA",1990,5.8
500,"Putnam County, GA",1990,3.4
501,"Quitman County, GA",1990,6.8
502,"Rabun County, GA",1990,5.2
503,"Randolph County, GA",1990,8.1
504,"Richmond County, GA",1990,5.5
505,"Rockdale County, GA",1990,4.4
506,"Schley County, GA",1990,9.1
507,"Screven County, GA",1990,7.8
